Brandname,price,RamRomMemory
realme 9 5G (Stargaze White, 128 GB),17499,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
SAMSUNG Galaxy F22 (Denim Blue, 128 GB),12499,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
POCO M3 Pro 5G (Yellow, 128 GB),12499,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
SAMSUNG Galaxy F22 (Denim Black, 128 GB),12499,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
realme 9 5G (Meteor Black, 128 GB),17499,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
REDMI Note 10T 5G (Mint Green, 128 GB),13999,6 GB RAM | 128 GB ROM
REDMI Note 10 Pro (Glacial Blue, 128 GB),15999,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
realme 9 (Sunburst Gold, 128 GB),17999,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
MOTOROLA G60 (Moonless, 128 GB),14999,6 GB RAM | 128 GB ROM
vivo T1 5G (Starlight Black, 128 GB),16990,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
vivo T1 5G (Rainbow Fantasy, 128 GB),16990,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
MOTOROLA G60 (Soft Silver, 128 GB),14999,6 GB RAM | 128 GB ROM
SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB),15999,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
REDMI Note 10T 5G (Graphite Black, 128 GB),13999,6 GB RAM | 128 GB ROM
realme 9 (Stargaze White, 128 GB),17999,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
realme Narzo 50 (Speed Blue, 128 GB),15499,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
POCO M4 Pro (Cool Blue, 128 GB),13999,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
OPPO K10 (Black Carbon, 128 GB),14990,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
REDMI Note 10T 5G (Chromium White, 128 GB),13999,6 GB RAM | 128 GB ROM
vivo T1 44W (Starry Sky, 128 GB),15999,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
OPPO K10 (Blue Flame, 128 GB),14990,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
SAMSUNG Galaxy F23 5G (Forest Green, 128 GB),15999,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
SAMSUNG Galaxy M32 (Light Blue, 128 GB),14344,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
REDMI Note 10 Pro (Dark Night, 128 GB),15999,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB
